,cluster,item_name,champ_name,avg_placement,top4_rate,win_rate,games
1418,0,Last Whisper,Zeri,3.232876712328767,0.7397260273972602,0.2945205479452055,146
1818,0,Rabadon's Deathcap,Viktor,3.3503649635036497,0.708029197080292,0.26277372262773724,137
782,0,Edge of Night,Jinx,3.4552845528455283,0.6829268292682927,0.21951219512195122,123
2359,0,Spear of Shojin,Viktor,3.5233333333333334,0.6933333333333334,0.20333333333333334,300
2705,0,Titan's Resolve,Zeri,3.536,0.696,0.176,125
1373,0,Jeweled Gauntlet,Viktor,3.568345323741007,0.6690647482014388,0.20863309352517986,139
65,0,Archangel's Staff,Orianna,3.5827814569536423,0.6490066225165563,0.152317880794702,151
274,0,Blue Buff,Jayce,3.619047619047619,0.6666666666666666,0.23809523809523808,105
1234,0,Infinity Edge,Jinx,3.657142857142857,0.6571428571428571,0.23809523809523808,105
1452,0,Locket of the Iron Solari,Orianna,3.6596638655462184,0.680672268907563,0.18907563025210083,238
681,0,Debonair Emblem,Kaisa,3.6666666666666665,0.6341463414634146,0.25203252032520324,123
166,0,Banshee's Claw,Jhin,3.691729323308271,0.6616541353383458,0.18045112781954886,133
810,0,Edge of Night,Zeri,3.701863354037267,0.6770186335403726,0.16770186335403728,161
512,0,Chalice of Power,Zeri,3.710144927536232,0.6666666666666666,0.17391304347826086,138
1063,0,Guinsoo's Rageblade,Jinx,3.7280701754385963,0.6140350877192983,0.21929824561403508,114
966,0,Giant Slayer,Talon,3.7735849056603774,0.6226415094339622,0.20754716981132076,106
1188,0,Hextech Gunblade,Kaisa,3.7757009345794392,0.616822429906542,0.19626168224299065,107
1139,0,Hand Of Justice,Zeri,3.776073619631902,0.6441717791411042,0.18098159509202455,326
2857,0,Zephyr,Orianna,3.782608695652174,0.6260869565217392,0.16521739130434782,115
2779,0,Zeke's Herald,Ekko,3.7832167832167833,0.6293706293706294,0.16083916083916083,143
1667,0,Negatron Cloak,Braum,3.784313725490196,0.5882352941176471,0.21568627450980393,102
1736,0,Quicksilver,Braum,3.789855072463768,0.6159420289855072,0.1956521739130435,138
1375,0,Jeweled Gauntlet,Zeri,3.8036363636363637,0.6290909090909091,0.18545454545454546,275
2901,0,Zz'Rot Portal,Braum,3.8084415584415585,0.6298701298701299,0.15584415584415584,308
509,0,Chalice of Power,Viktor,3.8188976377952755,0.6535433070866141,0.11811023622047244,127
2406,0,Statikk Shiv,Viktor,3.8372093023255816,0.6104651162790697,0.1569767441860465,172
2407,0,Statikk Shiv,Zeri,3.841692789968652,0.6269592476489029,0.17084639498432602,638
783,0,Edge of Night,Kaisa,3.8468468468468466,0.6216216216216216,0.18018018018018017,111
2820,0,Zeke's Herald,Zeri,3.867403314917127,0.6243093922651933,0.1878453038674033,181
2161,0,Shroud of Stillness,Leona,3.870431893687708,0.6112956810631229,0.19601328903654486,301
2800,0,Zeke's Herald,Orianna,3.8740554156171285,0.6221662468513854,0.16120906801007556,397
1132,0,Hand Of Justice,Talon,3.875,0.6517857142857143,0.10714285714285714,112
1752,0,Quicksilver,Leona,3.888235294117647,0.5882352941176471,0.19411764705882353,170
1360,0,Jeweled Gauntlet,Orianna,3.8962264150943398,0.6226415094339622,0.1320754716981132,106
2788,0,Zeke's Herald,Jhin,3.9050632911392404,0.6265822784810127,0.1962025316455696,158
948,0,Giant Slayer,Jinx,3.9159663865546217,0.5966386554621849,0.226890756302521,119
1300,0,Ionic Spark,Braum,3.937086092715232,0.5761589403973509,0.17218543046357615,302
2347,0,Spear of Shojin,Orianna,3.9380804953560373,0.6160990712074303,0.1238390092879257,323
1429,0,Locket of the Iron Solari,Braum,3.94,0.59,0.17,100
2065,0,Runaan's Hurricane,Zeri,3.942622950819672,0.6229508196721312,0.09836065573770492,122
1820,0,Rabadon's Deathcap,Zeri,3.9482758620689653,0.6336206896551724,0.1853448275862069,232
781,0,Edge of Night,Jhin,3.9545454545454546,0.6,0.19090909090909092,110
2832,0,Zephyr,Braum,3.9562841530054644,0.5683060109289617,0.19672131147540983,183
974,0,Giant Slayer,Zeri,3.9647058823529413,0.5929411764705882,0.20470588235294118,425
971,0,Giant Slayer,Viktor,3.9672131147540983,0.5983606557377049,0.18032786885245902,122
1210,0,Hextech Gunblade,Zeri,3.968299711815562,0.5821325648414986,0.16138328530259366,347
1564,0,Morellonomicon,Kaisa,3.9703872437357632,0.6036446469248291,0.17995444191343962,439
2214,0,Sniper Emblem,Orianna,3.975,0.59,0.14,200
672,0,Debonair Emblem,Ekko,3.9885057471264367,0.6149425287356322,0.1781609195402299,174
1776,0,Quicksilver,Zeri,3.99644128113879,0.608540925266904,0.18505338078291814,281
2664,0,Titan's Resolve,Braum,4.0078125,0.609375,0.125,128
2823,0,Zeke's Herald,Zyra,4.008130081300813,0.6097560975609756,0.2032520325203252,123
689,0,Debonair Emblem,Orianna,4.012820512820513,0.5833333333333334,0.21153846153846154,156
2383,0,Statikk Shiv,Kaisa,4.023809523809524,0.5773809523809523,0.19642857142857142,168
2144,0,Shroud of Stillness,Blitzcrank,4.036363636363636,0.5818181818181818,0.15454545454545454,110
1590,0,Morellonomicon,Zeri,4.040871934604905,0.5817438692098093,0.17029972752043596,734
2437,0,Sunfire Cape,Braum,4.049763033175355,0.6113744075829384,0.13270142180094788,422
722,0,Dragon's Claw,Braum,4.050531914893617,0.598404255319149,0.15159574468085107,376
2614,0,Thief's Gloves,Braum,4.060402684563758,0.5570469798657718,0.19798657718120805,298
736,0,Dragon's Claw,Leona,4.092105263157895,0.5789473684210527,0.15789473684210525,532
1314,0,Ionic Spark,Leona,4.0927318295739346,0.5839598997493735,0.14786967418546365,399
2146,0,Shroud of Stillness,Braum,4.094986807387863,0.5646437994722955,0.18997361477572558,379
1090,0,Guinsoo's Rageblade,Zeri,4.102127659574468,0.5765957446808511,0.14680851063829786,470
1262,0,Infinity Edge,Zeri,4.11353711790393,0.5502183406113537,0.17903930131004367,229
2830,0,Zephyr,Blitzcrank,4.1257861635220126,0.5471698113207547,0.1949685534591195,159
199,0,Banshee's Claw,Zyra,4.143884892086331,0.5683453237410072,0.1366906474820144,139
2626,0,Thief's Gloves,Jhin,4.144230769230769,0.5192307692307693,0.19230769230769232,104
285,0,Blue Buff,Orianna,4.150837988826815,0.5921787709497207,0.0782122905027933,179
1445,0,Locket of the Iron Solari,Leona,4.1525423728813555,0.6016949152542372,0.1271186440677966,118
