,cluster,trait_name,games_with_trait,games_in_cluster,play_rate
0,0,Arcanist,4035,4421,0.9126894367790093
1,0,Assassin,2935,4421,0.6638769509160823
2,0,Bodyguard,4387,4421,0.9923094322551459
3,0,Bruiser,4179,4421,0.9452612531101561
4,0,Challenger,3638,4421,0.8228907486993893
5,0,Chemtech,3110,4421,0.7034607554851844
6,0,Clockwork,4230,4421,0.9567971047274373
7,0,Colossus,740,4421,0.16738294503505993
8,0,Debonair,3483,4421,0.7878308075096132
9,0,Enchanter,3589,4421,0.8118072834200407
10,0,Enforcer,2876,4421,0.6505315539470709
11,0,Glutton,3034,4421,0.6862700746437458
12,0,Hextech,3789,4421,0.8570459172133001
13,0,Innovator,3183,4421,0.719972856819724
14,0,Mastermind,4039,4421,0.9135942094548745
15,0,Mercenary,506,4421,0.1144537434969464
16,0,Mutant,2188,4421,0.4949106536982583
17,0,Rivals,4363,4421,0.9868807961999547
18,0,Scholar,3693,4421,0.8353313729925356
19,0,Scrap,4321,4421,0.9773806831033702
20,0,Sniper,3273,4421,0.7403302420266908
21,0,Socialite,4364,4421,0.987106989368921
22,0,Striker,4083,4421,0.9235467088893915
23,0,Syndicate,2816,4421,0.6369599638090929
24,0,Transformer,3840,4421,0.8685817688305814
25,0,Twinshot,2782,4421,0.6292693960642388
26,0,Yordle,1801,4421,0.4073738973083013
27,0,YordleLord,110,4421,0.024881248586292693
28,1,Arcanist,4142,4544,0.9115316901408451
29,1,Assassin,3068,4544,0.6751760563380281
30,1,Bodyguard,4405,4544,0.9694102112676056
31,1,Bruiser,4299,4544,0.9460827464788732
32,1,Challenger,3659,4544,0.805237676056338
33,1,Chemtech,3227,4544,0.7101672535211268
34,1,Clockwork,4320,4544,0.9507042253521126
35,1,Colossus,772,4544,0.1698943661971831
36,1,Debonair,3197,4544,0.7035651408450704
37,1,Enchanter,3639,4544,0.8008362676056338
38,1,Enforcer,2984,4544,0.6566901408450704
39,1,Glutton,3137,4544,0.6903609154929577
40,1,Hextech,3920,4544,0.8626760563380281
41,1,Innovator,3583,4544,0.788512323943662
42,1,Mastermind,4138,4544,0.9106514084507042
43,1,Mercenary,528,4544,0.11619718309859155
44,1,Mutant,2274,4544,0.5004401408450704
45,1,Rivals,4495,4544,0.9892165492957746
46,1,Scholar,3692,4544,0.8125
47,1,Scrap,4507,4544,0.9918573943661971
48,1,Sniper,3156,4544,0.6945422535211268
49,1,Socialite,4519,4544,0.9944982394366197
50,1,Striker,4273,4544,0.9403609154929577
51,1,Syndicate,2724,4544,0.5994718309859155
52,1,Transformer,4025,4544,0.8857834507042254
53,1,Twinshot,2851,4544,0.6274207746478874
54,1,Yordle,1863,4544,0.40999119718309857
55,1,YordleLord,112,4544,0.02464788732394366
56,2,Arcanist,3128,3453,0.9058789458441935
57,2,Assassin,2204,3453,0.6382855487981466
58,2,Bodyguard,3337,3453,0.966406023747466
59,2,Bruiser,3437,3453,0.9953663481030988
60,2,Challenger,2774,3453,0.8033593976252534
61,2,Chemtech,2588,3453,0.7494931943237765
62,2,Clockwork,3257,3453,0.9432377642629598
63,2,Colossus,552,3453,0.15986099044309296
64,2,Debonair,2429,3453,0.7034462785983203
65,2,Enchanter,2701,3453,0.7822183608456414
66,2,Enforcer,2551,3453,0.7387778743121923
67,2,Glutton,2962,3453,0.857804807413843
68,2,Hextech,3008,3453,0.8711265566174341
69,2,Innovator,2468,3453,0.7147408050970171
70,2,Mastermind,3205,3453,0.9281783955980307
71,2,Mercenary,545,3453,0.15783376773819865
72,2,Mutant,1744,3453,0.5050680567622358
73,2,Rivals,3441,3453,0.996524761077324
74,2,Scholar,2913,3453,0.843614248479583
75,2,Scrap,3373,3453,0.9768317405154938
76,2,Sniper,2466,3453,0.7141615986099045
77,2,Socialite,3410,3453,0.9875470605270779
78,2,Striker,3203,3453,0.927599189110918
79,2,Syndicate,2014,3453,0.5832609325224443
80,2,Transformer,3081,3453,0.8922675933970461
81,2,Twinshot,2189,3453,0.6339415001448017
82,2,Yordle,1372,3453,0.3973356501592818
83,2,YordleLord,83,3453,0.02403706921517521
84,3,Arcanist,3953,4314,0.9163189615206305
85,3,Assassin,2852,4314,0.6611033843300881
86,3,Bodyguard,4166,4314,0.9656930922577655
87,3,Bruiser,4135,4314,0.9585071859063514
88,3,Challenger,3576,4314,0.8289290681502086
89,3,Chemtech,3207,4314,0.7433936022253129
90,3,Clockwork,4065,4314,0.9422809457579973
91,3,Colossus,837,4314,0.19401947148817802
92,3,Debonair,3019,4314,0.6998145572554474
93,3,Enchanter,3421,4314,0.7929995363931386
94,3,Enforcer,2780,4314,0.6444135373203523
95,3,Glutton,2968,4314,0.6879925822902179
96,3,Hextech,3772,4314,0.8743625405656004
97,3,Innovator,3090,4314,0.7162726008344924
98,3,Mastermind,3909,4314,0.9061196105702365
99,3,Mercenary,503,4314,0.11659712563745943
100,3,Mutant,2312,4314,0.53592953175707
101,3,Rivals,4256,4314,0.9865554010199351
102,3,Scholar,3503,4314,0.8120074177097821
103,3,Scrap,4202,4314,0.9740380157626333
104,3,Sniper,2943,4314,0.6821974965229486
105,3,Socialite,4251,4314,0.9853963838664812
106,3,Striker,4023,4314,0.9325452016689847
107,3,Syndicate,2544,4314,0.5897079276773296
108,3,Transformer,3723,4314,0.8630041724617524
109,3,Twinshot,2712,4314,0.6286509040333796
110,3,Yordle,1767,4314,0.4095966620305981
111,3,YordleLord,102,4314,0.02364394993045897
112,4,Arcanist,3781,3920,0.9645408163265307
113,4,Assassin,2520,3920,0.6428571428571429
114,4,Bodyguard,3788,3920,0.9663265306122449
115,4,Bruiser,3689,3920,0.9410714285714286
116,4,Challenger,3135,3920,0.7997448979591837
117,4,Chemtech,2767,3920,0.7058673469387755
118,4,Clockwork,3682,3920,0.9392857142857143
119,4,Colossus,612,3920,0.15612244897959185
120,4,Debonair,2737,3920,0.6982142857142857
121,4,Enchanter,3228,3920,0.823469387755102
122,4,Enforcer,2479,3920,0.6323979591836735
123,4,Glutton,2673,3920,0.6818877551020408
124,4,Hextech,3407,3920,0.8691326530612244
125,4,Innovator,2784,3920,0.710204081632653
126,4,Mastermind,3581,3920,0.9135204081632653
127,4,Mercenary,432,3920,0.11020408163265306
128,4,Mutant,1863,3920,0.47525510204081634
129,4,Rivals,3864,3920,0.9857142857142858
130,4,Scholar,3154,3920,0.8045918367346939
131,4,Scrap,3832,3920,0.9775510204081632
132,4,Sniper,2653,3920,0.6767857142857143
133,4,Socialite,3865,3920,0.985969387755102
134,4,Striker,3613,3920,0.9216836734693877
135,4,Syndicate,2417,3920,0.6165816326530612
136,4,Transformer,3367,3920,0.8589285714285714
137,4,Twinshot,2780,3920,0.7091836734693877
138,4,Yordle,2094,3920,0.5341836734693878
139,4,YordleLord,125,3920,0.03188775510204082
