cluster,trait,value
0,Arcanist,0.6587373167981961
1,Arcanist,0.11475090182314517
2,Arcanist,0.5904417364813405
3,Arcanist,0.6592435094001791
4,Arcanist,4.130376142664469
0,Assassin,0.49098083427282974
1,Assassin,1.1394169835234473
2,Assassin,0.2400990099009901
3,Assassin,0.5468889883616831
4,Assassin,0.04525700584444777
0,Bodyguard,2.172378804960541
1,Bodyguard,0.9217120015599103
2,Bodyguard,0.23514851485148514
3,Bodyguard,0.22470904207699194
4,Bodyguard,0.7077776112692942
0,Bruiser,0.15851183765501692
1,Bruiser,0.5794091839719216
2,Bruiser,3.698781416603199
3,Bruiser,1.6069829901521935
4,Bruiser,0.11598980968080323
0,Challenger,0.8623449830890643
1,Challenger,0.2430535244223457
2,Challenger,0.392993145468393
3,Challenger,1.5254028648164728
4,Challenger,0.047055297467405964
0,Chemtech,0.2615558060879369
1,Chemtech,0.5261772448084235
2,Chemtech,1.4556359482102057
3,Chemtech,1.3420993733213966
4,Chemtech,0.46800539487486886
0,Clockwork,1.369109357384442
1,Clockwork,0.9721166032953105
2,Clockwork,0.39851485148514854
3,Clockwork,0.5228290062667861
4,Clockwork,0.23632549078375542
0,Colossus,0.07384441939120631
1,Colossus,0.07848298722823438
2,Colossus,0.06721249047981721
3,Colossus,0.6301477170993733
4,Colossus,0.030421099955042708
0,Debonair,2.406989853438557
1,Debonair,0.14477917519742614
2,Debonair,0.21915460776846915
3,Debonair,0.2185541629364369
4,Debonair,0.3380788251161397
0,Enchanter,1.083990980834273
1,Enchanter,0.6813883201715901
2,Enchanter,0.2738004569687738
3,Enchanter,0.21239928379588183
4,Enchanter,1.1948149258204706
0,Enforcer,0.276662908680947
1,Enforcer,0.7487569464755777
2,Enforcer,1.9967631378522468
3,Enforcer,0.7807743957027753
4,Enforcer,0.07627753634047654
0,Glutton,0.031228861330326946
1,Glutton,0.05917909720191089
2,Glutton,0.7029702970297029
3,Glutton,0.048008057296329454
4,Glutton,0.030870672860782256
0,Hextech,0.12435174746335964
1,Hextech,0.8039387735205226
2,Hextech,1.2267707539984767
3,Hextech,2.116271262309758
4,Hextech,0.9174284429791698
0,Innovator,0.4487034949267193
1,Innovator,2.973676513600468
2,Innovator,0.6051028179741051
3,Innovator,0.4063339301700985
4,Innovator,0.16933912782856286
0,Mastermind,0.29131905298759864
1,Mastermind,0.20824802573852003
2,Mastermind,0.45887281035795885
3,Mastermind,0.20881826320501343
4,Mastermind,0.27978420500524503
0,Mercenary,0.2081172491544532
1,Mercenary,0.10519645120405577
2,Mercenary,1.2857958872810358
3,Mercenary,0.35149955237242614
4,Mercenary,0.2538588341075978
0,Mutant,0.3040586245772266
1,Mutant,0.3597543141269377
2,Mutant,0.9994287890327495
3,Mutant,1.585161145926589
4,Mutant,0.6852989659823168
0,Rivals,0.17023675310033823
1,Rivals,0.5433362581651555
2,Rivals,0.9514470677837015
3,Rivals,0.4123769024171889
4,Rivals,0.31230331185373894
0,Scholar,1.2103720405862457
1,Scholar,0.25075558155406064
2,Scholar,1.0041888804265042
3,Scholar,0.5694941808415398
4,Scholar,0.5369399070882661
0,Scrap,0.6983089064261556
1,Scrap,2.710831627181437
2,Scrap,0.5409367859862909
3,Scrap,0.37790957923008056
4,Scrap,1.1335231530046457
0,Sniper,1.2223224351747464
1,Sniper,0.22277469045529882
2,Sniper,0.5658796648895659
3,Sniper,0.09500895255147718
4,Sniper,0.03956241570508017
0,Socialite,0.31431792559188276
1,Socialite,1.6086575021936238
2,Socialite,0.3594821020563595
3,Socialite,0.2925246195165622
4,Socialite,0.6219091862730406
0,Striker,0.07113866967305524
1,Striker,2.1405869162523157
2,Striker,1.181073876618431
3,Striker,1.2832363473589974
4,Striker,0.2722913232429192
0,Syndicate,2.02423900789177
1,Syndicate,0.42176074875694647
2,Syndicate,0.26275704493526275
3,Syndicate,0.2224709042076992
4,Syndicate,1.4521204855387382
0,Transformer,0.1261555806087937
1,Transformer,0.4289753339182997
2,Transformer,0.36157654226961156
3,Transformer,0.0903088630259624
4,Transformer,0.03326839502472651
0,Twinshot,0.13089064261555805
1,Twinshot,0.4175684898118358
2,Twinshot,0.5017136329017517
3,Twinshot,0.4105863921217547
4,Twinshot,1.2612018582346771
0,Yordle,0.1527621195039459
1,Yordle,0.6059276591595983
2,Yordle,0.2623762376237624
3,Yordle,0.16685317815577438
4,Yordle,2.4067136220590437
0,YordleLord,0.0
1,YordleLord,9.749439407234084e-05
2,YordleLord,0.0
3,YordleLord,0.0
4,YordleLord,0.018732204405814475
